PhoneNumber,CompanyName,Website
http://www.nileunited.com,Nile United,+201007000849
,Roqay,https://roqay.com/
,wajz information technology ,www.wajz.sa
,Digital business system,https://www.dbsmena.com
,https://boubyan.bankboubyan.com/en/boubyan-digital-factory/,Boubyan digital factory 
,Lavaloon,Lavaloon.com
,https://www.datenlotsen.de/en/,Datenlotsen 
,https://aait.sa/,Awamer Elshabaka
,البدر للنظم الذكية,https://albadrsystems.com/ar/
,Quarizm,https://quarizm.tech/
serv5 web solutions,,serv5.com.eg
